"file","category","rough_literal_fragments","lines","phase1_status","phase1_notes"
"src/lib/components/endgame/EndgameLocalNav.svelte","aria labels","3","58;63;79","still hardcoded",""
"src/lib/components/endgame/EndgameModeNav.svelte","aria labels","1","19","still hardcoded",""
"src/lib/components/endgame/EndgameNodeHeading.svelte","Endgame labels","1","8","still hardcoded",""
"src/lib/components/endgame/EndgameOverviewCard.svelte","Endgame labels","2","32;33","still hardcoded",""
"src/lib/components/endgame/EndgameOverviewCard.svelte","aria labels","1","38","still hardcoded",""
"src/lib/components/endgame/EndgameSeasonCard.svelte","aria labels","2","20;36","still hardcoded",""
"src/lib/components/endgame/EndgameSeasonHero.svelte","aria labels","1","9","still hardcoded",""
"src/lib/components/endgame/EndgameSeasonHero.svelte","Endgame labels","2","14;16","still hardcoded",""
"src/lib/components/endgame/EndgameWaveGroup.svelte","Endgame labels","1","26","still hardcoded",""
"src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte","tooltips","2","27;33","still hardcoded",""
"src/lib/components/endgame/modes/PureFictionCacophonySection.svelte","tooltips","1","9","still hardcoded",""
"src/lib/components/endgame/modes/PureFictionMechanicsSection.svelte","tooltips","1","24","still hardcoded",""
"src/lib/components/endgame/presentation.ts","Endgame labels","10","63;67","still hardcoded",""
"src/lib/components/enemy/EnemyDetailPage.svelte","headings","10","108;134;201;205;207;218;238;253;272;327","still hardcoded",""
"src/lib/components/enemy/EnemyDetailPage.svelte","empty states","4","116;215;319;330","still hardcoded",""
"src/lib/components/enemy/EnemyDetailPage.svelte","aria labels","4","125;149;157;274","still hardcoded",""
"src/lib/components/enemy/EnemyDetailPage.svelte","headings / display labels","7","138;173;87;88;91;92;93","still hardcoded",""
"src/lib/components/enemy/EnemyDetailPage.svelte","buttons","1","287","still hardcoded",""
"src/lib/components/enemy/EnemyStatsPanel.svelte","aria labels","1","29","still hardcoded",""
"src/lib/components/enemy/EnemyStatsPanel.svelte","empty states","2","11;13","still hardcoded",""
"src/lib/components/enemy/EnemyStatsPanel.svelte","headings / display labels","7","17;18;19;20;21;22;23","still hardcoded",""
"src/lib/components/enemy/EnemyTemplateBaseStatsPanel.svelte","aria labels","2","32;33","still hardcoded",""
"src/lib/components/enemy/EnemyTemplateBaseStatsPanel.svelte","empty states","1","9","still hardcoded",""
"src/lib/components/enemy/EnemyTemplateBaseStatsPanel.svelte","headings / display labels","7","21;22;23;24;25;26;27","still hardcoded",""
"src/lib/components/EnemyCatalogPage.svelte","filters","8","135;143;150;160;195;196;197","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/EnemyCatalogPage.svelte","aria labels","1","139","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/EnemyCatalogPage.svelte","metadata/title/description","2","27;28","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/EnemyWeaknessGroup.svelte","tooltips","1","20","still hardcoded",""
"src/lib/components/EnemyWeaknessGroup.svelte","headings / display labels","2","24;9","still hardcoded",""
"src/lib/components/EquipmentRecommendationSection.svelte","headings","7","19;28;54;56;71;88;103","still hardcoded",""
"src/lib/components/EquipmentRecommendationSection.svelte","aria labels","1","22","still hardcoded",""
"src/lib/components/EquipmentRecommendationSection.svelte","headings / display labels","2","65;80","still hardcoded",""
"src/lib/components/FilterGroup.svelte","filters","1","16","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/LightConeCatalogPage.svelte","filters","8","129;137;144;152;186;187;188","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/LightConeCatalogPage.svelte","aria labels","1","133","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/LightConeCatalogPage.svelte","metadata/title/description","2","25;26","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/Navigator.svelte","aria labels","10","61;62;70;77;79;100;104;111;125;141","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/Navigator.svelte","tooltips","2","81;106","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/Navigator.svelte","navigation","4","152;153;20","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewHero.svelte","metadata/title/description","2","3;4","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewPagination.svelte","aria labels","2","14;15","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewPagination.svelte","headings / display labels","3","26;27","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewSearch.svelte","Search UI","2","15;18","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewToolbar.svelte","headings / display labels","5","15;20;6;7","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewToolbar.svelte","buttons","1","17","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/OverviewToolbar.svelte","aria labels","1","23","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/PrimaryNavigation.svelte","aria labels","1","10","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/RarityStars.svelte","aria labels","1","14","still hardcoded",""
"src/lib/components/relic/RelicDetailPage.svelte","headings / display labels","2","17;30","still hardcoded",""
"src/lib/components/relic/RelicDetailPage.svelte","aria labels","1","28","still hardcoded",""
"src/lib/components/relic/RelicDetailPage.svelte","headings","2","38;55","still hardcoded",""
"src/lib/components/relic/RelicDetailPage.svelte","empty states","6","43;44;49;71;75;82","still hardcoded",""
"src/lib/components/relic/RelicIcon.svelte","headings / display labels","1","9","still hardcoded",""
"src/lib/components/RelicCatalogPage.svelte","filters","9","141;149;156;190;191;192;65;66","partially migrated; remaining hardcoded","Shared UI migrated; generated game category terminology remains outside Site Messages."
"src/lib/components/RelicCatalogPage.svelte","aria labels","1","145","partially migrated; remaining hardcoded","Shared UI migrated; generated game category terminology remains outside Site Messages."
"src/lib/components/RelicCatalogPage.svelte","metadata/title/description","2","25;26","partially migrated; remaining hardcoded","Shared UI migrated; generated game category terminology remains outside Site Messages."
"src/lib/components/RelicOverviewCard.svelte","headings / display labels","2","11;12","still hardcoded",""
"src/lib/components/SearchBar.svelte","aria labels","3","30;31;33","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/SearchResultWindow.svelte","Search UI","3","8;10","still hardcoded",""
"src/lib/components/SectionNav.svelte","navigation","1","5","still hardcoded",""
"src/lib/components/SkillCombatMeta.svelte","aria labels","1","23","still hardcoded",""
"src/lib/components/SkillCombatMeta.svelte","headings / display labels","8","25;29;33;37;46;10","still hardcoded",""
"src/lib/components/SkillProgressionPanel.svelte","headings / display labels","1","29","still hardcoded",""
"src/lib/components/SkillProgressionPanel.svelte","aria labels","1","42","still hardcoded",""
"src/lib/components/SkillVariantView.svelte","empty states","1","41","still hardcoded",""
"src/lib/components/SpecialEffectDialog.svelte","headings","1","98","still hardcoded",""
"src/lib/components/SpecialEffectDialog.svelte","aria labels","1","105","still hardcoded",""
"src/lib/components/SpecialEffectRelation.svelte","headings / display labels","2","42;45","still hardcoded",""
"src/lib/components/SuperimpositionPanel.svelte","headings / display labels","2","20;39","still hardcoded",""
"src/lib/components/SuperimpositionPanel.svelte","aria labels","1","33","still hardcoded",""
"src/lib/components/SuperimpositionPanel.svelte","empty states","2","44;47","still hardcoded",""
"src/lib/components/TraceAbilityHeading.svelte","headings","6","18;22;27;30","still hardcoded",""
"src/lib/components/TraceCardPanel.svelte","empty states","4","26;48;71;94","still hardcoded",""
"src/lib/components/TraceCardPanel.svelte","headings / display labels","2","45;91","still hardcoded",""
"src/lib/components/TraceCardPanel.svelte","headings","2","60","still hardcoded",""
"src/lib/domain/constants.ts","headings / display labels","14","2;3;4;5;20;21;22;23;24;25","still hardcoded",""
"src/lib/domain/endgame-navigation.ts","navigation","16","45;57;58;59;71;74;83;84;93;100;109;120;132;133;134","still hardcoded",""
"src/lib/domain/endgame-view.ts","Endgame labels","26","29;30;31;36;37;38;43;44;45;50;51;52;408;421;428;436;443;444;445;446;479;491;754;760","still hardcoded",""
"src/lib/domain/enemy-overview.ts","filters","7","4;5;6;25","still hardcoded",""
"src/lib/domain/special-effects-presentation.ts","headings / display labels","4","13;82;87;89","game TextMap","Character base/display names supplied by naming service; visible trigger equality removed."
"src/lib/navigation.ts","navigation","12","5;7;12;14;19;21;26;28;33;35;40;42","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/site.ts","headings / display labels","1","1","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/+error.svelte","errors shown to users","4","10;11;12","still hardcoded",""
"src/routes/+layout.svelte","headings / display labels","5","33;37;39;40;41","still hardcoded",""
"src/routes/+page.svelte","headings / display labels","2","28;33","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/+page.svelte","aria labels","4","72;77;94;108","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/+page.svelte","empty states","2","74","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/endgame/+page.svelte","metadata/title/description","2","15;16","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/endgame/+page.svelte","tooltips","2","21;22","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/endgame/+page.svelte","Endgame labels","1","23","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/endgame/[mode=endgameMode]/+page.server.ts","errors shown to users","1","9","still hardcoded",""
"src/routes/endgame/[mode=endgameMode]/+page.svelte","metadata/title/description","3","13;14","still hardcoded",""
"src/routes/endgame/[mode=endgameMode]/+page.svelte","Endgame labels","6","18;23;29;42;55;68","still hardcoded",""
"src/routes/endgame/[mode=endgameMode]/[groupId]/+page.server.ts","errors shown to users","2","9;11","still hardcoded",""
"src/routes/endgame/[mode=endgameMode]/[groupId]/+page.svelte","Endgame labels","3","54;60;103","still hardcoded",""
"src/routes/search/+page.svelte","metadata/title/description","2","100;101","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/search/+page.svelte","tooltips","2","106;107","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/search/+page.svelte","Search UI","7","113;114;242;245;253;257;258","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/search/+page.svelte","aria labels","7","124;145;165;185;205;252","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/[category=category]/+page.server.ts","errors shown to users","1","10","still hardcoded",""
"src/routes/[category=category]/+page.svelte","tooltips","5","13;19;24;25;32","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/routes/[category=category]/[id]/+page.server.ts","errors shown to users","2","23;45","still hardcoded",""
